task_id,arrival_time_min,cpu_demand_pct,duration_min,latency_sla_min,node_id,queue_wait_min,start_time_min,end_time_min,completion_latency_min,migrated,sla_breached
1670,725.8439362473558,25.954297557690097,21.627523448757163,1.4587282291238535,17,13.831365912815613,739.6753021601714,761.3028256089286,35.4588893615728,False,True
1714,739.83080727371,22.298784712505007,22.18462330515211,2.4329468135345795,6,0.0,739.83080727371,762.015430578862,22.18462330515206,False,False
1671,725.8866086143726,12.635618473575775,2.879611495161858,5.391605559410067,17,14.103983099908987,739.9905917142815,742.8702032094434,16.983594595070826,False,True
1715,740.0172473723525,9.221685920970426,10.974028813508383,7.082416667874078,16,0.0,740.0172473723525,750.9912761858609,10.974028813508426,False,False
1716,740.1001031938457,7.634255368410824,15.802634406933237,2.941675414976344,19,0.0,740.1001031938457,755.9027376007789,15.80263440693318,False,False
1717,740.4213906026237,34.10231230185337,23.47883757816849,6.123135941462251,3,0.0,740.4213906026237,769.0155750260702,28.594184423446563,True,False
1718,741.0820443475071,22.587786571492046,13.809032725212791,2.1273668659546803,12,0.0,741.0820443475071,754.8910770727199,13.809032725212774,False,False
1719,741.3936169371818,12.234219087977817,21.39582076271467,6.96332157750944,3,0.0,741.3936169371818,762.7894376998966,21.39582076271472,False,False
1720,742.1329125807098,30.49463054363676,28.72448158150841,5.774923632310431,0,0.0,742.1329125807098,770.8573941622182,28.72448158150837,False,False
1721,742.4189491307911,8.254571077111908,3.2749579839832714,7.639910008098093,0,0.0,742.4189491307911,745.6939071147744,3.274957983983313,False,False
1048,613.1971951732654,24.33731905702404,17.656108750174123,4.0158665772194775,15,129.35423911624287,742.5514342895083,760.2075430396824,147.01034786641696,False,True
1539,682.3366040453419,29.855990578385352,10.070111359282192,5.079782726760446,1,60.26764853661916,742.6042525819611,752.6743639412433,70.3377598959014,False,True
1546,684.3341465004307,14.270819068479552,20.13196334365256,3.0235708885032953,1,58.27010608153034,742.6042525819611,762.7362159256137,78.40206942518296,False,True
1722,742.9761216379931,24.722565357473545,27.52652421855607,7.294927306403917,19,0.0,742.9761216379931,770.5026458565492,27.52652421855612,False,False
1723,743.2463218681481,7.231934819393592,23.613870673159976,3.833069788585747,0,0.0,743.2463218681481,766.8601925413082,23.613870673160022,False,False
1724,743.5914598026231,17.910923490185105,3.7361496013012334,1.0039049635309096,14,0.0,743.5914598026231,747.3276094039244,3.7361496013012356,False,False
1725,743.8299605196222,18.735333690317507,25.268159493699997,7.593153139141066,12,0.0,743.8299605196222,769.0981200133222,25.268159493699955,False,False
1726,743.9969546014455,30.029204032608362,21.891905837439445,2.0155304039669684,8,0.0,743.9969546014455,765.888860438885,21.89190583743948,False,False
1727,744.4808310954496,27.323675432751365,5.2511464376744,4.487121672471934,2,0.0,744.4808310954496,749.731977533124,5.251146437674379,False,False
1728,744.624201854074,28.323334843423897,20.08891695281968,4.550523029713785,16,0.0,744.624201854074,764.7131188068937,20.08891695281966,False,False
1729,744.7637498368528,29.02322105373047,7.257687141323303,7.933122680561007,6,0.0,744.7637498368528,752.0214369781761,7.257687141323345,False,False
1730,744.8299868263879,6.8294152617946455,2.2240992676678264,6.035141202746662,3,0.0,744.8299868263879,747.0540860940557,2.224099267667839,False,False
1731,744.8412208240486,33.16909456651615,20.637084072950906,2.849911924234458,10,0.0,744.8412208240486,765.4783048969995,20.63708407295087,False,False
1672,726.0599002908633,28.776167964592286,23.336876011938422,3.8683634571861543,17,18.896772927984898,744.9566732188482,768.2935492307867,42.23364893992334,False,True
